"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/loss","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/loss__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/loss__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/loss","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/loss__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/loss__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/loss","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/loss__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/loss__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/loss","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/loss__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/loss__MAX","exp_arch_001_resnet50 - val/loss","exp_arch_001_resnet50 - val/loss__MIN","exp_arch_001_resnet50 - val/loss__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/loss","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/loss__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/loss__MAX","exp_arch_009_efficientnet_b0_sapbert256 - val/loss","exp_arch_009_efficientnet_b0_sapbert256 - val/loss__MIN","exp_arch_009_efficientnet_b0_sapbert256 - val/loss__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/loss","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/loss__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/loss__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/loss","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/loss__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/loss__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - val/loss","exp_arch_008_efficientnet_b0_pubmedbert256 - val/loss__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - val/loss__MAX"
"3","8.64562762369875","8.64562762369875","8.64562762369875","3.3087361640617496","3.3087361640617496","3.3087361640617496","9.174710070500609","9.174710070500609","9.174710070500609","4.946467079100062","4.946467079100062","4.946467079100062","1.7945543175838032","1.7945543175838032","1.7945543175838032","4.946467079100062","4.946467079100062","4.946467079100062","1.6062401005479157","1.6062401005479157","1.6062401005479157","2.965046511321771","2.965046511321771","2.965046511321771","1.6719124825274359","1.6719124825274359","1.6719124825274359","1.7985675491270472","1.7985675491270472","1.7985675491270472"
"7","8.254620630233013","8.254620630233013","8.254620630233013","2.9674525456350356","2.9674525456350356","2.9674525456350356","8.482673215084388","8.482673215084388","8.482673215084388","4.658221123648471","4.658221123648471","4.658221123648471","1.6643173655525583","1.6643173655525583","1.6643173655525583","4.666455601082474","4.666455601082474","4.666455601082474","1.4955073399621932","1.4955073399621932","1.4955073399621932","2.9229171510602607","2.9229171510602607","2.9229171510602607","1.539805242272674","1.539805242272674","1.539805242272674","1.6773575231677196","1.6773575231677196","1.6773575231677196"
"11","8.11008605018991","8.11008605018991","8.11008605018991","2.808979558163002","2.808979558163002","2.808979558163002","8.163060594777592","8.163060594777592","8.163060594777592","4.535763201166372","4.535763201166372","4.535763201166372","1.6034941575566277","1.6034941575566277","1.6034941575566277","4.551001282989001","4.551001282989001","4.551001282989001","1.443285467194729","1.443285467194729","1.443285467194729","2.907438841022429","2.907438841022429","2.907438841022429","1.4874688836394763","1.4874688836394763","1.4874688836394763","1.6136496321099703","1.6136496321099703","1.6136496321099703"
"15","7.942272092475266","7.942272092475266","7.942272092475266","2.7117149712609465","2.7117149712609465","2.7117149712609465","7.921265609928819","7.921265609928819","7.921265609928819","4.463682096512591","4.463682096512591","4.463682096512591","1.5271539844450404","1.5271539844450404","1.5271539844450404","4.479984256087756","4.479984256087756","4.479984256087756","1.40600607043407","1.40600607043407","1.40600607043407","2.7683021475057132","2.7683021475057132","2.7683021475057132","1.4436307950098006","1.4436307950098006","1.4436307950098006","1.54468421467015","1.54468421467015","1.54468421467015"
"19","7.835700207069272","7.835700207069272","7.835700207069272","2.6600975013170087","2.6600975013170087","2.6600975013170087","7.765671370459384","7.765671370459384","7.765671370459384","4.416030766534024","4.416030766534024","4.416030766534024","1.4938166649615179","1.4938166649615179","1.4938166649615179","4.421274107010638","4.421274107010638","4.421274107010638","1.372344030708563","1.372344030708563","1.372344030708563","2.700018187038234","2.700018187038234","2.700018187038234","1.4159679393299291","1.4159679393299291","1.4159679393299291","1.510606728616308","1.510606728616308","1.510606728616308"
"23","7.714376410499948","7.714376410499948","7.714376410499948","2.599518877560975","2.599518877560975","2.599518877560975","7.663876322449231","7.663876322449231","7.663876322449231","4.376181184268389","4.376181184268389","4.376181184268389","1.4629137770074312","1.4629137770074312","1.4629137770074312","4.389346044571673","4.389346044571673","4.389346044571673","1.3490348057668717","1.3490348057668717","1.3490348057668717","2.6472360736033957","2.6472360736033957","2.6472360736033957","1.3995272194752928","1.3995272194752928","1.3995272194752928","1.4823156399805038","1.4823156399805038","1.4823156399805038"
"27","7.682439147448931","7.682439147448931","7.682439147448931","2.5794392726460442","2.5794392726460442","2.5794392726460442","7.563225996298868","7.563225996298868","7.563225996298868","4.337471985426105","4.337471985426105","4.337471985426105","1.4424310883537668","1.4424310883537668","1.4424310883537668","4.345711192146677","4.345711192146677","4.345711192146677","1.327307900444406","1.327307900444406","1.327307900444406","2.591011438213411","2.591011438213411","2.591011438213411","1.3707836104221032","1.3707836104221032","1.3707836104221032","1.4574442535150247","1.4574442535150247","1.4574442535150247"
"31","7.649180232501421","7.649180232501421","7.649180232501421","2.5410368989725582","2.5410368989725582","2.5410368989725582","7.501233327584188","7.501233327584188","7.501233327584188","4.334023878222606","4.334023878222606","4.334023878222606","1.4264440790551607","1.4264440790551607","1.4264440790551607","4.3496367775025915","4.3496367775025915","4.3496367775025915","1.319039960376552","1.319039960376552","1.319039960376552","2.561622381210327","2.561622381210327","2.561622381210327","1.3522513166802828","1.3522513166802828","1.3522513166802828","1.4391165659075877","1.4391165659075877","1.4391165659075877"
"35","7.6491877133729025","7.6491877133729025","7.6491877133729025","2.516635883049887","2.516635883049887","2.516635883049887","7.462895690417681","7.462895690417681","7.462895690417681","4.309326289130039","4.309326289130039","4.309326289130039","1.4261537829383475","1.4261537829383475","1.4261537829383475","4.322318260786964","4.322318260786964","4.322318260786964","1.3056013974987093","1.3056013974987093","1.3056013974987093","2.542137384414673","2.542137384414673","2.542137384414673","1.3475402339560087","1.3475402339560087","1.3475402339560087","1.4323462814581198","1.4323462814581198","1.4323462814581198"
"39","7.599577247119341","7.599577247119341","7.599577247119341","2.4961750468269726","2.4961750468269726","2.4961750468269726","7.44881640105951","7.44881640105951","7.44881640105951","4.2913670383515905","4.2913670383515905","4.2913670383515905","1.4258953352443506","1.4258953352443506","1.4258953352443506","4.294265086533593","4.294265086533593","4.294265086533593","1.2977540532096488","1.2977540532096488","1.2977540532096488","2.528893521574677","2.528893521574677","2.528893521574677","1.3349462083128631","1.3349462083128631","1.3349462083128631","1.4189053832507523","1.4189053832507523","1.4189053832507523"
