"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/f1","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/f1__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/f1__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/f1","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/f1__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/f1__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/f1","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/f1__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/f1__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/f1","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/f1__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/f1__MAX","exp_arch_001_resnet50 - val/f1","exp_arch_001_resnet50 - val/f1__MIN","exp_arch_001_resnet50 - val/f1__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/f1","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/f1__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/f1__MAX","exp_arch_009_efficientnet_b0_sapbert256 - val/f1","exp_arch_009_efficientnet_b0_sapbert256 - val/f1__MIN","exp_arch_009_efficientnet_b0_sapbert256 - val/f1__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/f1","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/f1__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/f1__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/f1","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/f1__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/f1__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - val/f1","exp_arch_008_efficientnet_b0_pubmedbert256 - val/f1__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - val/f1__MAX"
"3","0.30462446153324346","0.30462446153324346","0.30462446153324346","0.26260431089815894","0.26260431089815894","0.26260431089815894","0.2654108958062473","0.2654108958062473","0.2654108958062473","0.42184547547288603","0.42184547547288603","0.42184547547288603","0.2075219909215283","0.2075219909215283","0.2075219909215283","0.42184547547288603","0.42184547547288603","0.42184547547288603","0.31925119870088153","0.31925119870088153","0.31925119870088153","0.036276560716524985","0.036276560716524985","0.036276560716524985","0.28788165688865236","0.28788165688865236","0.28788165688865236","0.1992669610973171","0.1992669610973171","0.1992669610973171"
"7","0.3906222425161979","0.3906222425161979","0.3906222425161979","0.36618541915943775","0.36618541915943775","0.36618541915943775","0.4019981166193789","0.4019981166193789","0.4019981166193789","0.4784389197810015","0.4784389197810015","0.4784389197810015","0.27360357002686186","0.27360357002686186","0.27360357002686186","0.4725560008662701","0.4725560008662701","0.4725560008662701","0.39294086837704345","0.39294086837704345","0.39294086837704345","0.04572762264780443","0.04572762264780443","0.04572762264780443","0.3677435521035443","0.3677435521035443","0.3677435521035443","0.28437472351233567","0.28437472351233567","0.28437472351233567"
"11","0.42171691171961906","0.42171691171961906","0.42171691171961906","0.42543932787406236","0.42543932787406236","0.42543932787406236","0.44941900733597934","0.44941900733597934","0.44941900733597934","0.4994454649468124","0.4994454649468124","0.4994454649468124","0.3213177709169823","0.3213177709169823","0.3213177709169823","0.5019852679520173","0.5019852679520173","0.5019852679520173","0.4590184935623723","0.4590184935623723","0.4590184935623723","0.05384812322224473","0.05384812322224473","0.05384812322224473","0.4295149513968463","0.4295149513968463","0.4295149513968463","0.3240172278838077","0.3240172278838077","0.3240172278838077"
"15","0.4357380764783127","0.4357380764783127","0.4357380764783127","0.4743813331951448","0.4743813331951448","0.4743813331951448","0.4793765914542354","0.4793765914542354","0.4793765914542354","0.5354841939779408","0.5354841939779408","0.5354841939779408","0.3749897871403215","0.3749897871403215","0.3749897871403215","0.5289823066898558","0.5289823066898558","0.5289823066898558","0.5049991980248193","0.5049991980248193","0.5049991980248193","0.08143889262571134","0.08143889262571134","0.08143889262571134","0.48309778391908287","0.48309778391908287","0.48309778391908287","0.36883500624866533","0.36883500624866533","0.36883500624866533"
"19","0.462007455530685","0.462007455530685","0.462007455530685","0.5180757561610282","0.5180757561610282","0.5180757561610282","0.5028369049918634","0.5028369049918634","0.5028369049918634","0.5470683775687317","0.5470683775687317","0.5470683775687317","0.3983548234360405","0.3983548234360405","0.3983548234360405","0.5430664986734138","0.5430664986734138","0.5430664986734138","0.5504781484948551","0.5504781484948551","0.5504781484948551","0.1092226540193766","0.1092226540193766","0.1092226540193766","0.503256023986706","0.503256023986706","0.503256023986706","0.403831162289679","0.403831162289679","0.403831162289679"
"23","0.4812748181518267","0.4812748181518267","0.4812748181518267","0.5358518462449224","0.5358518462449224","0.5358518462449224","0.5100398679171945","0.5100398679171945","0.5100398679171945","0.5624870569834455","0.5624870569834455","0.5624870569834455","0.43611575059983193","0.43611575059983193","0.43611575059983193","0.5514127746189462","0.5514127746189462","0.5514127746189462","0.5665480830987728","0.5665480830987728","0.5665480830987728","0.12747700150780347","0.12747700150780347","0.12747700150780347","0.5301004376455669","0.5301004376455669","0.5301004376455669","0.4291274869273776","0.4291274869273776","0.4291274869273776"
"27","0.4789959041509383","0.4789959041509383","0.4789959041509383","0.5588435124118849","0.5588435124118849","0.5588435124118849","0.5281698377561146","0.5281698377561146","0.5281698377561146","0.5632317079835862","0.5632317079835862","0.5632317079835862","0.4729439983260589","0.4729439983260589","0.4729439983260589","0.5595681932702155","0.5595681932702155","0.5595681932702155","0.5964022209883075","0.5964022209883075","0.5964022209883075","0.14468476607501277","0.14468476607501277","0.14468476607501277","0.5629668371281566","0.5629668371281566","0.5629668371281566","0.45951884455900155","0.45951884455900155","0.45951884455900155"
"31","0.483002867521118","0.483002867521118","0.483002867521118","0.5683802561533641","0.5683802561533641","0.5683802561533641","0.5412264513918874","0.5412264513918874","0.5412264513918874","0.5761741587977287","0.5761741587977287","0.5761741587977287","0.49021949821880006","0.49021949821880006","0.49021949821880006","0.5670572251280063","0.5670572251280063","0.5670572251280063","0.6002822647002167","0.6002822647002167","0.6002822647002167","0.15922865171380565","0.15922865171380565","0.15922865171380565","0.5688410317064918","0.5688410317064918","0.5688410317064918","0.4852332349898568","0.4852332349898568","0.4852332349898568"
"35","0.4912953160229994","0.4912953160229994","0.4912953160229994","0.5947552049313839","0.5947552049313839","0.5947552049313839","0.5485525326873496","0.5485525326873496","0.5485525326873496","0.5827219570970037","0.5827219570970037","0.5827219570970037","0.5025597542719322","0.5025597542719322","0.5025597542719322","0.5887117234319781","0.5887117234319781","0.5887117234319781","0.6187918421964497","0.6187918421964497","0.6187918421964497","0.17671553967714226","0.17671553967714226","0.17671553967714226","0.5875041779348434","0.5875041779348434","0.5875041779348434","0.4902228980133094","0.4902228980133094","0.4902228980133094"
"39","0.5054548627490429","0.5054548627490429","0.5054548627490429","0.6068995089064704","0.6068995089064704","0.6068995089064704","0.5620669710926858","0.5620669710926858","0.5620669710926858","0.6042127547556401","0.6042127547556401","0.6042127547556401","0.5097859342307799","0.5097859342307799","0.5097859342307799","0.5950836096724937","0.5950836096724937","0.5950836096724937","0.6155291475452093","0.6155291475452093","0.6155291475452093","0.17195314276469628","0.17195314276469628","0.17195314276469628","0.582014166370185","0.582014166370185","0.582014166370185","0.4950558006389698","0.4950558006389698","0.4950558006389698"
