"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/acc","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/acc__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - val/acc__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/acc","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/acc__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - val/acc__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/acc","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/acc__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - val/acc__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/acc","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/acc__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - val/acc__MAX","exp_arch_001_resnet50 - val/acc","exp_arch_001_resnet50 - val/acc__MIN","exp_arch_001_resnet50 - val/acc__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/acc","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/acc__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - val/acc__MAX","exp_arch_009_efficientnet_b0_sapbert256 - val/acc","exp_arch_009_efficientnet_b0_sapbert256 - val/acc__MIN","exp_arch_009_efficientnet_b0_sapbert256 - val/acc__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/acc","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/acc__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - val/acc__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/acc","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/acc__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - val/acc__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - val/acc","exp_arch_008_efficientnet_b0_pubmedbert256 - val/acc__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - val/acc__MAX"
"3","21.28874911751492","21.28874911751492","21.28874911751492","72.04929080290097","72.04929080290097","72.04929080290097","24.208972466465568","24.208972466465568","24.208972466465568","32.70008343495283","32.70008343495283","32.70008343495283","68.55785893074899","68.55785893074899","68.55785893074899","32.70008343495283","32.70008343495283","32.70008343495283","74.70637314678133","74.70637314678133","74.70637314678133","33.21994737179899","33.21994737179899","33.21994737179899","72.86438611128939","72.86438611128939","72.86438611128939","68.1085938001412","68.1085938001412","68.1085938001412"
"7","31.6796097811437","31.6796097811437","31.6796097811437","75.97715165907195","75.97715165907195","75.97715165907195","32.777100314485594","32.777100314485594","32.777100314485594","38.89352416404596","38.89352416404596","38.89352416404596","71.68346062512033","71.68346062512033","71.68346062512033","38.412168666966174","38.412168666966174","38.412168666966174","77.1516590719466","77.1516590719466","77.1516590719466","34.03504268018741","34.03504268018741","34.03504268018741","75.81669982671202","75.81669982671202","75.81669982671202","71.60002567229317","71.60002567229317","71.60002567229317"
"11","35.889865862268145","35.889865862268145","35.889865862268145","78.08869777292857","78.08869777292857","78.08869777292857","36.711379243950965","36.711379243950965","36.711379243950965","44.32321417110583","44.32321417110583","44.32321417110583","73.4869392208459","73.4869392208459","73.4869392208459","43.03959951222643","43.03959951222643","43.03959951222643","78.45452795070919","78.45452795070919","78.45452795070919","34.44579937102882","34.44579937102882","34.44579937102882","77.53032539631603","77.53032539631603","77.53032539631603","73.36499582825236","73.36499582825236","73.36499582825236"
"15","35.350747705538794","35.350747705538794","35.350747705538794","79.68679802323342","79.68679802323342","79.68679802323342","38.457095180026954","38.457095180026954","38.457095180026954","42.99467299916565","42.99467299916565","42.99467299916565","75.82953597330082","75.82953597330082","75.82953597330082","42.81496694692253","42.81496694692253","42.81496694692253","79.92426673512611","79.92426673512611","79.92426673512611","37.808869777292855","37.808869777292855","37.808869777292855","78.91021115461139","78.91021115461139","78.91021115461139","75.24549130351069","75.24549130351069","75.24549130351069"
"19","37.00019254219883","37.00019254219883","37.00019254219883","80.51472947821064","80.51472947821064","80.51472947821064","41.03074257108016","41.03074257108016","41.03074257108016","44.14350811886272","44.14350811886272","44.14350811886272","76.77299274757718","76.77299274757718","76.77299274757718","43.84185867402606","43.84185867402606","43.84185867402606","80.97041268211282","80.97041268211282","80.97041268211282","39.41980617418651","39.41980617418651","39.41980617418651","79.50067389769592","79.50067389769592","79.50067389769592","76.48417944932932","76.48417944932932","76.48417944932932"
"23","39.26577241512098","39.26577241512098","39.26577241512098","81.2656440536551","81.2656440536551","81.2656440536551","41.191194403440086","41.191194403440086","41.191194403440086","45.08696489313908","45.08696489313908","45.08696489313908","77.85764713433028","77.85764713433028","77.85764713433028","44.59919132276491","44.59919132276491","44.59919132276491","81.7020730376741","81.7020730376741","81.7020730376741","41.02432449778576","41.02432449778576","41.02432449778576","80.02695590783647","80.02695590783647","80.02695590783647","77.12598677876902","77.12598677876902","77.12598677876902"
"27","39.541749566780055","39.541749566780055","39.541749566780055","81.79834413709004","81.79834413709004","81.79834413709004","43.437520056479045","43.437520056479045","43.437520056479045","45.176817919260635","45.176817919260635","45.176817919260635","78.60214363648033","78.60214363648033","78.60214363648033","45.27308901867659","45.27308901867659","45.27308901867659","82.45940568641294","82.45940568641294","82.45940568641294","42.6737693344458","42.6737693344458","42.6737693344458","81.09877414800077","81.09877414800077","81.09877414800077","78.17855079905013","78.17855079905013","78.17855079905013"
"31","39.920415891149474","39.920415891149474","39.920415891149474","82.30537192734741","82.30537192734741","82.30537192734741","44.766061228419225","44.766061228419225","44.766061228419225","45.79295295552275","45.79295295552275","45.79295295552275","79.34022206533598","79.34022206533598","79.34022206533598","45.4720492908029","45.4720492908029","45.4720492908029","82.69687439830562","82.69687439830562","82.69687439830562","43.3155766638855","43.3155766638855","43.3155766638855","81.65714652461331","81.65714652461331","81.65714652461331","78.74975932225146","78.74975932225146","78.74975932225146"
"35","40.75476541942109","40.75476541942109","40.75476541942109","82.82523586419357","82.82523586419357","82.82523586419357","44.46441178358257","44.46441178358257","44.46441178358257","46.498941017906425","46.498941017906425","46.498941017906425","79.45574738463513","79.45574738463513","79.45574738463513","46.15878313330338","46.15878313330338","46.15878313330338","83.10763108914703","83.10763108914703","83.10763108914703","44.05365509274116","44.05365509274116","44.05365509274116","81.76625377061806","81.76625377061806","81.76625377061806","78.77543161542904","78.77543161542904","78.77543161542904"
"39","41.743148706758234","41.743148706758234","41.743148706758234","83.08837686926385","83.08837686926385","83.08837686926385","45.72877222257878","45.72877222257878","45.72877222257878","47.275527886528465","47.275527886528465","47.275527886528465","79.35305821192478","79.35305821192478","79.35305821192478","46.89686156215904","46.89686156215904","46.89686156215904","83.16539374879662","83.16539374879662","83.16539374879662","44.23336114498428","44.23336114498428","44.23336114498428","82.04864899557153","82.04864899557153","82.04864899557153","79.12842564662088","79.12842564662088","79.12842564662088"
"43","42.50689942879148","42.50689942879148","42.50689942879148","","","","","","","","","","","","","46.774918169565495","46.774918169565495","46.774918169565495","","","","","","","","","","","",""
"47","42.6673512611514","42.6673512611514","42.6673512611514","","","","","","","","","","","","","47.6221038444259","47.6221038444259","47.6221038444259","","","","","","","","","","","",""
"51","42.78287658045055","42.78287658045055","42.78287658045055","","","","","","","","","","","","","47.32687247288364","47.32687247288364","47.32687247288364","","","","","","","","","","","",""
"55","43.92529362685322","43.92529362685322","43.92529362685322","","","","","","","","","","","","","48.27032924716","48.27032924716","48.27032924716","","","","","","","","","","","",""
"59","44.84949618124639","44.84949618124639","44.84949618124639","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","44.57351902958732","44.57351902958732","44.57351902958732","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","44.78531544830242","44.78531544830242","44.78531544830242","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","45.74802644246197","45.74802644246197","45.74802644246197","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","45.63891919645722","45.63891919645722","45.63891919645722","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","46.13952891342019","46.13952891342019","46.13952891342019","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","46.06251203388743","46.06251203388743","46.06251203388743","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","46.38983377190168","46.38983377190168","46.38983377190168","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","46.67222899685515","46.67222899685515","46.67222899685515","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","46.409087991784865","46.409087991784865","46.409087991784865","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","46.62730248379437","46.62730248379437","46.62730248379437","","","","","","","","","","","","","","","","","","","","","","","","","","",""
