"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/loss","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/loss__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/loss__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/loss","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/loss__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/loss__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/loss","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/loss__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/loss__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/loss","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/loss__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/loss__MAX","exp_arch_001_resnet50 - train/loss","exp_arch_001_resnet50 - train/loss__MIN","exp_arch_001_resnet50 - train/loss__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/loss","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/loss__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/loss__MAX","exp_arch_009_efficientnet_b0_sapbert256 - train/loss","exp_arch_009_efficientnet_b0_sapbert256 - train/loss__MIN","exp_arch_009_efficientnet_b0_sapbert256 - train/loss__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/loss","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/loss__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/loss__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/loss","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/loss__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/loss__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - train/loss","exp_arch_008_efficientnet_b0_pubmedbert256 - train/loss__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - train/loss__MAX"
"0","10.011983461340758","10.011983461340758","10.011983461340758","4.472849984227875","4.472849984227875","4.472849984227875","10.390173013318222","10.390173013318222","10.390173013318222","5.759751844798586","5.759751844798586","5.759751844798586","2.194728567031185","2.194728567031185","2.194728567031185","5.759751844798586","5.759751844798586","5.759751844798586","2.021396670321869","2.021396670321869","2.021396670321869","3.1301713401888622","3.1301713401888622","3.1301713401888622","2.378285864743676","2.378285864743676","2.378285864743676","2.1924832357791226","2.1924832357791226","2.1924832357791226"
"4","9.296385928927135","9.296385928927135","9.296385928927135","3.7115174060986367","3.7115174060986367","3.7115174060986367","9.594747366728607","9.594747366728607","9.594747366728607","5.002291550852144","5.002291550852144","5.002291550852144","1.8221868249614543","1.8221868249614543","1.8221868249614543","5.009913003003156","5.009913003003156","5.009913003003156","1.653562768251317","1.653562768251317","1.653562768251317","2.9683521809401334","2.9683521809401334","2.9683521809401334","2.071764536355258","2.071764536355258","2.071764536355258","1.825568762090471","1.825568762090471","1.825568762090471"
"8","9.11710827046461","9.11710827046461","9.11710827046461","3.4709270383104864","3.4709270383104864","3.4709270383104864","9.129835133689912","9.129835133689912","9.129835133689912","4.767815186163035","4.767815186163035","4.767815186163035","1.7254706292485995","1.7254706292485995","1.7254706292485995","4.780940204981423","4.780940204981423","4.780940204981423","1.5644571099261688","1.5644571099261688","1.5644571099261688","2.933043073234244","2.933043073234244","2.933043073234244","2.0034228291040583","2.0034228291040583","2.0034228291040583","1.731035378980048","1.731035378980048","1.731035378980048"
"12","8.882455918033427","8.882455918033427","8.882455918033427","3.3286127116945057","3.3286127116945057","3.3286127116945057","8.829337387909124","8.829337387909124","8.829337387909124","4.606793244679769","4.606793244679769","4.606793244679769","1.649010069821597","1.649010069821597","1.649010069821597","4.634872476259868","4.634872476259868","4.634872476259868","1.5054466189670954","1.5054466189670954","1.5054466189670954","2.8384682538578048","2.8384682538578048","2.8384682538578048","1.9445972288096394","1.9445972288096394","1.9445972288096394","1.6603115039107241","1.6603115039107241","1.6603115039107241"
"16","8.60770998962622","8.60770998962622","8.60770998962622","3.2236457655949846","3.2236457655949846","3.2236457655949846","8.573393270312023","8.573393270312023","8.573393270312023","4.494752284921246","4.494752284921246","4.494752284921246","1.5832883234867834","1.5832883234867834","1.5832883234867834","4.530935875182289","4.530935875182289","4.530935875182289","1.453436754858543","1.453436754858543","1.453436754858543","2.7340292248706266","2.7340292248706266","2.7340292248706266","1.9017401313094935","1.9017401313094935","1.9017401313094935","1.6010879611772766","1.6010879611772766","1.6010879611772766"
"20","8.430008879414311","8.430008879414311","8.430008879414311","3.1346685861854398","3.1346685861854398","3.1346685861854398","8.392736026779614","8.392736026779614","8.392736026779614","4.41367876137235","4.41367876137235","4.41367876137235","1.52892536538128","1.52892536538128","1.52892536538128","4.455829287752693","4.455829287752693","4.455829287752693","1.4110465802773526","1.4110465802773526","1.4110465802773526","2.6586428380306857","2.6586428380306857","2.6586428380306857","1.863841923176016","1.863841923176016","1.863841923176016","1.5527867736149226","1.5527867736149226","1.5527867736149226"
"24","8.251035032939518","8.251035032939518","8.251035032939518","3.0629463912037664","3.0629463912037664","3.0629463912037664","8.183282107482722","8.183282107482722","8.183282107482722","4.336406068056209","4.336406068056209","4.336406068056209","1.4758925349624068","1.4758925349624068","1.4758925349624068","4.394581697114701","4.394581697114701","4.394581697114701","1.378496089099366","1.378496089099366","1.378496089099366","2.595077346381827","2.595077346381827","2.595077346381827","1.8366922120498532","1.8366922120498532","1.8366922120498532","1.5118166895069702","1.5118166895069702","1.5118166895069702"
"28","8.059086541580074","8.059086541580074","8.059086541580074","2.9986980819898377","2.9986980819898377","2.9986980819898377","8.01433150660354","8.01433150660354","8.01433150660354","4.2654588497224655","4.2654588497224655","4.2654588497224655","1.4262540396839503","1.4262540396839503","1.4262540396839503","4.338509741143435","4.338509741143435","4.338509741143435","1.3439125134130565","1.3439125134130565","1.3439125134130565","2.5366828446525607","2.5366828446525607","2.5366828446525607","1.8094865682193773","1.8094865682193773","1.8094865682193773","1.4728676796940618","1.4728676796940618","1.4728676796940618"
"32","7.89388437035643","7.89388437035643","7.89388437035643","2.93947309182014","2.93947309182014","2.93947309182014","7.870665879897129","7.870665879897129","7.870665879897129","4.212490946667675","4.212490946667675","4.212490946667675","1.3802316463533253","1.3802316463533253","1.3802316463533253","4.28973979567304","4.28973979567304","4.28973979567304","1.3135742937586434","1.3135742937586434","1.3135742937586434","2.482697733145192","2.482697733145192","2.482697733145192","1.7833097770871449","1.7833097770871449","1.7833097770871449","1.4370265271928575","1.4370265271928575","1.4370265271928575"
"36","7.709979789247238","7.709979789247238","7.709979789247238","2.884654246730569","2.884654246730569","2.884654246730569","7.730561457543707","7.730561457543707","7.730561457543707","4.155864726368782","4.155864726368782","4.155864726368782","1.3444409865901303","1.3444409865901303","1.3444409865901303","4.2369178783746415","4.2369178783746415","4.2369178783746415","1.2824473044999833","1.2824473044999833","1.2824473044999833","2.434840301427331","2.434840301427331","2.434840301427331","1.766187052667877","1.766187052667877","1.766187052667877","1.398372408784466","1.398372408784466","1.398372408784466"
