"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/f1","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/f1__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - train/f1__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/f1","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/f1__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - train/f1__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/f1","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/f1__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - train/f1__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/f1","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/f1__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - train/f1__MAX","exp_arch_001_resnet50 - train/f1","exp_arch_001_resnet50 - train/f1__MIN","exp_arch_001_resnet50 - train/f1__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/f1","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/f1__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - train/f1__MAX","exp_arch_009_efficientnet_b0_sapbert256 - train/f1","exp_arch_009_efficientnet_b0_sapbert256 - train/f1__MIN","exp_arch_009_efficientnet_b0_sapbert256 - train/f1__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/f1","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/f1__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - train/f1__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/f1","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/f1__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - train/f1__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - train/f1","exp_arch_008_efficientnet_b0_pubmedbert256 - train/f1__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - train/f1__MAX"
"0","0.08811051736438599","0.08811051736438599","0.08811051736438599","0.12127523320132255","0.12127523320132255","0.12127523320132255","0.07370378114189369","0.07370378114189369","0.07370378114189369","0.2037280005828795","0.2037280005828795","0.2037280005828795","0.13603749073894217","0.13603749073894217","0.13603749073894217","0.2037280005828795","0.2037280005828795","0.2037280005828795","0.19683386612390133","0.19683386612390133","0.19683386612390133","0.030335501552131085","0.030335501552131085","0.030335501552131085","0.1463189915369472","0.1463189915369472","0.1463189915369472","0.13210258153125642","0.13210258153125642","0.13210258153125642"
"4","0.18363848567982125","0.18363848567982125","0.18363848567982125","0.22165711890891612","0.22165711890891612","0.22165711890891612","0.17954444058153027","0.17954444058153027","0.17954444058153027","0.3677791006554912","0.3677791006554912","0.3677791006554912","0.22850948551118053","0.22850948551118053","0.22850948551118053","0.364679994147788","0.364679994147788","0.364679994147788","0.33338049405439024","0.33338049405439024","0.33338049405439024","0.043614104469385205","0.043614104469385205","0.043614104469385205","0.25756328315320864","0.25756328315320864","0.25756328315320864","0.22946744209805434","0.22946744209805434","0.22946744209805434"
"8","0.21275393575825813","0.21275393575825813","0.21275393575825813","0.27563899781766965","0.27563899781766965","0.27563899781766965","0.233749377523341","0.233749377523341","0.233749377523341","0.42059984336082173","0.42059984336082173","0.42059984336082173","0.2829145864514595","0.2829145864514595","0.2829145864514595","0.41769779023489145","0.41769779023489145","0.41769779023489145","0.40065612697919895","0.40065612697919895","0.40065612697919895","0.051852885272391305","0.051852885272391305","0.051852885272391305","0.3073567769865627","0.3073567769865627","0.3073567769865627","0.28276114400156754","0.28276114400156754","0.28276114400156754"
"12","0.23093183573544004","0.23093183573544004","0.23093183573544004","0.3159646290120106","0.3159646290120106","0.3159646290120106","0.2632505418032732","0.2632505418032732","0.2632505418032732","0.4548830399887604","0.4548830399887604","0.4548830399887604","0.32793508310640673","0.32793508310640673","0.32793508310640673","0.44722952420473383","0.44722952420473383","0.44722952420473383","0.4550359412639578","0.4550359412639578","0.4550359412639578","0.0688810300636975","0.0688810300636975","0.0688810300636975","0.34488888612663204","0.34488888612663204","0.34488888612663204","0.32462092143389815","0.32462092143389815","0.32462092143389815"
"16","0.253143602369537","0.253143602369537","0.253143602369537","0.34784776055888195","0.34784776055888195","0.34784776055888195","0.2850582124318201","0.2850582124318201","0.2850582124318201","0.48046974476612087","0.48046974476612087","0.48046974476612087","0.37018310403978905","0.37018310403978905","0.37018310403978905","0.47463046811894094","0.47463046811894094","0.47463046811894094","0.5031365493646413","0.5031365493646413","0.5031365493646413","0.09520890327312916","0.09520890327312916","0.09520890327312916","0.37974825740500656","0.37974825740500656","0.37974825740500656","0.3629087446475251","0.3629087446475251","0.3629087446475251"
"20","0.2669676192164055","0.2669676192164055","0.2669676192164055","0.37414650953556877","0.37414650953556877","0.37414650953556877","0.30336305649908335","0.30336305649908335","0.30336305649908335","0.5012422905957534","0.5012422905957534","0.5012422905957534","0.4077007094415995","0.4077007094415995","0.4077007094415995","0.4949580293537192","0.4949580293537192","0.4949580293537192","0.5369286903011712","0.5369286903011712","0.5369286903011712","0.11914288819160854","0.11914288819160854","0.11914288819160854","0.4062117475998609","0.4062117475998609","0.4062117475998609","0.39795086238266514","0.39795086238266514","0.39795086238266514"
"24","0.2836707653442053","0.2836707653442053","0.2836707653442053","0.4009448223365853","0.4009448223365853","0.4009448223365853","0.3205117353554413","0.3205117353554413","0.3205117353554413","0.5222001755580241","0.5222001755580241","0.5222001755580241","0.4446955073967471","0.4446955073967471","0.4446955073967471","0.5109053794934362","0.5109053794934362","0.5109053794934362","0.5611967639045009","0.5611967639045009","0.5611967639045009","0.1403934004268204","0.1403934004268204","0.1403934004268204","0.4250144062206617","0.4250144062206617","0.4250144062206617","0.42482831075657923","0.42482831075657923","0.42482831075657923"
"28","0.2986771387233023","0.2986771387233023","0.2986771387233023","0.42285186439936","0.42285186439936","0.42285186439936","0.3382060344346234","0.3382060344346234","0.3382060344346234","0.539981518003201","0.539981518003201","0.539981518003201","0.4752181216656647","0.4752181216656647","0.4752181216656647","0.526335298715025","0.526335298715025","0.526335298715025","0.5961204744387684","0.5961204744387684","0.5961204744387684","0.16008484880484142","0.16008484880484142","0.16008484880484142","0.4445287736849709","0.4445287736849709","0.4445287736849709","0.45586517473471266","0.45586517473471266","0.45586517473471266"
"32","0.31320760898782357","0.31320760898782357","0.31320760898782357","0.4427195883304503","0.4427195883304503","0.4427195883304503","0.3509046680063987","0.3509046680063987","0.3509046680063987","0.5582886113997838","0.5582886113997838","0.5582886113997838","0.5086773186161186","0.5086773186161186","0.5086773186161186","0.5426760368199052","0.5426760368199052","0.5426760368199052","0.6103048465881697","0.6103048465881697","0.6103048465881697","0.17924210992903478","0.17924210992903478","0.17924210992903478","0.4644935170466344","0.4644935170466344","0.4644935170466344","0.4767905947496053","0.4767905947496053","0.4767905947496053"
"36","0.3295801541483305","0.3295801541483305","0.3295801541483305","0.46361619875571536","0.46361619875571536","0.46361619875571536","0.36462656367402585","0.36462656367402585","0.36462656367402585","0.5760473302015281","0.5760473302015281","0.5760473302015281","0.5359845172741291","0.5359845172741291","0.5359845172741291","0.5598760580362183","0.5598760580362183","0.5598760580362183","0.6341494159526876","0.6341494159526876","0.6341494159526876","0.1942178959647379","0.1942178959647379","0.1942178959647379","0.4743691698560403","0.4743691698560403","0.4743691698560403","0.5081162892610405","0.5081162892610405","0.5081162892610405"
