"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - params/learning_rate_vision","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - params/learning_rate_vision__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - params/learning_rate_vision__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - params/learning_rate_vision","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - params/learning_rate_vision__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - params/learning_rate_vision__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - params/learning_rate_vision","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - params/learning_rate_vision__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - params/learning_rate_vision__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - params/learning_rate_vision","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - params/learning_rate_vision__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - params/learning_rate_vision__MAX","exp_arch_001_resnet50 - params/learning_rate_vision","exp_arch_001_resnet50 - params/learning_rate_vision__MIN","exp_arch_001_resnet50 - params/learning_rate_vision__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - params/learning_rate_vision","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - params/learning_rate_vision__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - params/learning_rate_vision__MAX","exp_arch_009_efficientnet_b0_sapbert256 - params/learning_rate_vision","exp_arch_009_efficientnet_b0_sapbert256 - params/learning_rate_vision__MIN","exp_arch_009_efficientnet_b0_sapbert256 - params/learning_rate_vision__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - params/learning_rate_vision","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - params/learning_rate_vision__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - params/learning_rate_vision__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - params/learning_rate_vision","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - params/learning_rate_vision__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - params/learning_rate_vision__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - params/learning_rate_vision","exp_arch_008_efficientnet_b0_pubmedbert256 - params/learning_rate_vision__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - params/learning_rate_vision__MAX"
"0","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"4","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"8","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"12","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"16","0.00019921186439638208","0.00019921186439638208","0.00019921186439638208","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"20","0.00019685988695480669","0.00019685988695480669","0.00019685988695480669","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"24","0.00019298115976453073","0.00019298115976453073","0.00019298115976453073","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"28","0.00018763685267038417","0.00018763685267038417","0.00018763685267038417","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"32","0.000180911248587776","0.000180911248587776","0.000180911248587776","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
"36","0.0001729104143107701","0.0001729104143107701","0.0001729104143107701","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0005","0.0005","0.0005","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001"
