"Step","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - params/learning_rate_multimodal_classifier","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - params/learning_rate_multimodal_classifier__MIN","exp_arch_017_efficientnet_b0_sapbert256_reduced_image_bottleneck - params/learning_rate_multimodal_classifier__MAX","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - params/learning_rate_multimodal_classifier","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - params/learning_rate_multimodal_classifier__MIN","exp_arch_015_efficientnet_b0_sapbert256_text_mask_and_auxiliary_loss - params/learning_rate_multimodal_classifier__MAX","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - params/learning_rate_multimodal_classifier","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - params/learning_rate_multimodal_classifier__MIN","exp_arch_016_efficientnet_b0_sapbert256_text_mask_no_proj_dropout - params/learning_rate_multimodal_classifier__MAX","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - params/learning_rate_multimodal_classifier","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - params/learning_rate_multimodal_classifier__MIN","exp_arch_014_efficientnet_b0_sapbert256_lower_lr_partial_unfreeze - params/learning_rate_multimodal_classifier__MAX","exp_arch_001_resnet50 - params/learning_rate_multimodal_classifier","exp_arch_001_resnet50 - params/learning_rate_multimodal_classifier__MIN","exp_arch_001_resnet50 - params/learning_rate_multimodal_classifier__MAX","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - params/learning_rate_multimodal_classifier","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - params/learning_rate_multimodal_classifier__MIN","exp_arch_013_efficientnet_b0_sapbert256_unfreeze_all_changed_concat - params/learning_rate_multimodal_classifier__MAX","exp_arch_009_efficientnet_b0_sapbert256 - params/learning_rate_multimodal_classifier","exp_arch_009_efficientnet_b0_sapbert256 - params/learning_rate_multimodal_classifier__MIN","exp_arch_009_efficientnet_b0_sapbert256 - params/learning_rate_multimodal_classifier__MAX","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - params/learning_rate_multimodal_classifier","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - params/learning_rate_multimodal_classifier__MIN","exp_arch_011_efficientnet_b0_sapbert256_mask_all_text - params/learning_rate_multimodal_classifier__MAX","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - params/learning_rate_multimodal_classifier","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - params/learning_rate_multimodal_classifier__MIN","exp_arch_012_efficientnet_b0_sapbert256_mask_random25 - params/learning_rate_multimodal_classifier__MAX","exp_arch_008_efficientnet_b0_pubmedbert256 - params/learning_rate_multimodal_classifier","exp_arch_008_efficientnet_b0_pubmedbert256 - params/learning_rate_multimodal_classifier__MIN","exp_arch_008_efficientnet_b0_pubmedbert256 - params/learning_rate_multimodal_classifier__MAX"
"0","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"4","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"8","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"12","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"16","0.0004980290695935538","0.0004980290695935538","0.0004980290695935538","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"20","0.0004921473611241014","0.0004921473611241014","0.0004921473611241014","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"24","0.00048244763264776853","0.00048244763264776853","0.00048244763264776853","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"28","0.0004690828546769638","0.0004690828546769638","0.0004690828546769638","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"32","0.00045226379774401825","0.00045226379774401825","0.00045226379774401825","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"36","0.00043225570842398195","0.00043225570842398195","0.00043225570842398195","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"40","0.00040937412623768513","0.00040937412623768513","0.00040937412623768513","","","","","","","","","","","","","0.0005","0.0005","0.0005","","","","","","","","","","","",""
"44","0.00038397990740500026","0.00038397990740500026","0.00038397990740500026","","","","","","","","","","","","","0.0005","0.0005","0.0005","","","","","","","","","","","",""
"48","0.00035647353392668997","0.00035647353392668997","0.00035647353392668997","","","","","","","","","","","","","0.0005","0.0005","0.0005","","","","","","","","","","","",""
"52","0.00032728879774401816","0.00032728879774401816","0.00032728879774401816","","","","","","","","","","","","","0.0005","0.0005","0.0005","","","","","","","","","","","",""
"56","0.000296885959580702","0.000296885959580702","0.000296885959580702","","","","","","","","","","","","","0.0005","0.0005","0.0005","","","","","","","","","","","",""
"60","0.000265744490356352","0.000265744490356352","0.000265744490356352","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","0.00023435550964364822","0.00023435550964364822","0.00023435550964364822","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0002032140404192982","0.0002032140404192982","0.0002032140404192982","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.00017281120225598202","0.00017281120225598202","0.00017281120225598202","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.00014362646607331012","0.00014362646607331012","0.00014362646607331012","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.00011612009259499976","0.00011612009259499976","0.00011612009259499976","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.00009072587376231502","0.00009072587376231502","0.00009072587376231502","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.00006784429157601826","0.00006784429157601826","0.00006784429157601826","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.000047836202255981935","0.000047836202255981935","0.000047836202255981935","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.00003101714532303632","0.00003101714532303632","0.00003101714532303632","","","","","","","","","","","","","","","","","","","","","","","","","","",""
